,Shot rate,008.Filling  time [s],009. Plasticizing  time [s],000.Total  cycle time  [s],012.Min.melt  cushion [in],015.Peak  value Inj.  Pressure  [psi],016. Change- over Inj.  Pressure  [psi],003. Clamping  force [kN],018. Change- over Melt  pressure  [bar],051.Shot  vol. before  injection [in],092.Peak  value  Holding  pressure  [psi],100.Melt  temperature  [F],111.Cooling  time [s],machine_id,order,datetime,filepath,group_id
22,30,5.48,21.32,96.47,0.83,2706.0,2702.0,11009.6,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
23,31,5.47,21.54,96.48,0.82,2682.0,2682.0,11017.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
24,32,5.46,21.58,96.6,0.82,2653.0,2654.0,11009.6,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
25,33,5.44,21.93,96.64,0.82,2622.0,2622.0,11025.3,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
26,34,5.43,22.25,96.58,0.82,2599.0,2598.0,11024.1,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
27,35,5.42,22.21,96.57,0.82,2606.0,2606.0,11021.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
28,36,5.43,22.17,96.41,0.81,2622.0,2618.0,11029.9,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
29,37,5.42,22.36,96.53,0.82,2579.0,2573.0,11015.9,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
30,38,5.42,22.2,96.43,0.82,2580.0,2579.0,11003.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
31,39,5.42,22.15,96.53,0.82,2615.0,2615.0,11014.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
32,40,5.44,21.98,96.41,0.82,2631.0,2634.0,11004.4,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
33,41,5.45,21.72,96.52,0.83,2656.0,2656.0,11021.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
34,42,5.46,21.64,96.48,0.83,2690.0,2688.0,11014.8,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
35,43,5.5,21.43,96.67,0.83,2715.0,2695.0,11018.9,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
36,44,5.49,21.69,96.52,0.83,2712.0,2711.0,11021.7,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
37,45,5.46,21.79,96.58,0.82,2659.0,2651.0,11032.8,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
38,46,5.45,21.88,96.62,0.82,2645.0,2645.0,11025.9,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
39,47,5.44,21.75,96.57,0.82,2630.0,2631.0,11026.4,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
40,48,5.43,22.18,96.6,0.82,2624.0,2624.0,11030.5,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
41,49,5.44,22.47,96.66,0.82,2628.0,2628.0,11019.5,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
42,50,5.42,22.38,96.54,0.82,2592.0,2593.0,11020.6,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
43,51,5.43,22.42,96.59,0.81,2603.0,2605.0,11013.6,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
44,52,5.42,22.37,96.68,0.82,2608.0,2608.0,11009.6,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
45,53,5.42,22.47,96.66,0.81,2585.0,2583.0,10989.8,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
46,54,5.43,22.5,96.53,0.82,2614.0,2611.0,11001.4,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
47,55,5.43,22.51,96.56,0.82,2631.0,2631.0,10996.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
48,56,5.43,22.49,96.64,0.82,2606.0,2603.0,10985.1,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
49,57,5.43,22.42,96.59,0.81,2621.0,2618.0,11009.0,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
50,58,5.43,22.51,96.58,0.81,2614.0,2609.0,11013.1,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
51,59,5.42,22.67,96.63,0.82,2576.0,2574.0,11011.8,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
52,60,5.43,22.81,96.73,0.82,2615.0,2615.0,10989.8,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
53,61,5.43,22.63,96.44,0.81,2614.0,2614.0,11020.6,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
54,62,5.42,22.43,96.44,0.82,2589.0,2589.0,10992.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
55,63,5.43,22.66,96.58,0.82,2619.0,2618.0,11007.8,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
56,64,5.43,22.51,96.57,0.81,2616.0,2614.0,11002.6,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
57,65,5.42,22.78,96.58,0.82,2577.0,2573.0,10987.5,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
58,66,5.43,22.6,96.42,0.82,2599.0,2598.0,10995.1,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
59,67,5.43,22.74,96.62,0.82,2590.0,2590.0,11000.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
60,68,5.43,22.39,96.46,0.82,2596.0,2595.0,10994.5,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
61,69,5.43,22.59,96.37,0.82,2609.0,2611.0,11000.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
62,70,5.42,22.49,96.47,0.81,2583.0,2580.0,10999.1,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
63,71,5.43,22.58,96.53,0.82,2595.0,2593.0,10992.7,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
64,72,5.42,22.75,96.33,0.82,2599.0,2596.0,11016.6,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
65,73,5.42,22.52,96.41,0.82,2606.0,2603.0,10995.0,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
66,74,5.43,22.49,96.61,0.82,2609.0,2608.0,11022.9,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
67,75,5.43,22.64,96.55,0.81,2605.0,2602.0,11020.6,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
68,76,5.42,22.57,96.65,0.82,2598.0,2599.0,11035.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
69,77,5.43,22.5,96.62,0.82,2631.0,2627.0,11026.4,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
70,78,5.43,22.64,96.58,0.81,2612.0,2614.0,10996.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
71,79,5.42,22.55,96.51,0.82,2599.0,2598.0,11015.3,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
72,80,5.43,22.71,96.43,0.82,2627.0,2630.0,11021.8,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
73,81,5.43,22.66,96.63,0.81,2621.0,2619.0,11008.4,0.0,12.79,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
74,82,5.43,22.53,96.67,0.82,2596.0,2593.0,11004.3,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
75,83,5.42,22.48,96.49,0.82,2614.0,2609.0,11005.5,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
76,84,5.42,22.45,96.34,0.82,2611.0,2609.0,11007.8,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
77,85,5.42,22.64,96.32,0.83,2573.0,2567.0,11011.3,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
78,86,5.43,22.39,96.44,0.82,2625.0,2624.0,11007.2,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
79,87,5.42,22.56,96.66,0.82,2601.0,2602.0,11013.1,0.0,12.8,904.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
80,88,5.42,22.6,96.52,0.82,2592.0,2589.0,10992.1,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
81,89,5.42,22.81,96.39,0.82,2587.0,2585.0,11013.0,0.0,12.8,902.0,662.0,45.0,Battenfeld UNILOG B8,Order no.: MacroPower 1300/12800,2021-06-02 09:48:59,./test_data2/imm1_107.xls,5
